날짜,강수량(mm)
2020-06-04,0.2
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,6.2
2020-06-11,0
2020-06-12,
2020-06-13,0
2020-06-14,1.1
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,0.1
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,0
2020-06-24,37.6
2020-06-25,13.3
2020-06-26,2.1
2020-06-27,0
2020-06-28,
2020-06-29,11.9
2020-06-30,64.7
2020-07-01,0
2020-07-02,
2020-07-03,0.1
2020-07-04,1.6
2020-07-05,
2020-07-06,
2020-07-07,0
2020-07-08,
2020-07-09,
2020-07-10,2.2
2020-07-11,
2020-07-12,2.9
2020-07-13,47.6
2020-07-14,11.5
2020-07-15,
2020-07-16,
2020-07-17,0
2020-07-18,
2020-07-19,29.1
2020-07-20,3.6
2020-07-21,0
2020-07-22,11.5
2020-07-23,103.1
2020-07-24,2.9
2020-07-25,0
2020-07-26,0
2020-07-27,2.2
2020-07-28,0.4
2020-07-29,50.1
2020-07-30,0.1
2020-07-31,1.5
2020-08-01,39.1
2020-08-02,31.4
